iter	MultiClass
0	4.339988227
1	4.335101072
2	4.331326882
3	4.327783684
4	4.32333499
5	4.319402029
6	4.315658613
7	4.311927037
8	4.306789601
9	4.302726462
10	4.2986574
11	4.294924914
12	4.290834428
13	4.286367161
14	4.282420331
15	4.278400234
16	4.273381573
17	4.269510409
18	4.265471967
19	4.261250571
20	4.256170932
21	4.252528148
22	4.248142492
23	4.244319195
24	4.239711309
25	4.234134806
26	4.230157615
27	4.225692727
28	4.220971937
29	4.216491247
30	4.213002371
31	4.20894366
32	4.205189083
33	4.200328463
34	4.196106709
35	4.192194741
36	4.187852543
37	4.18430768
38	4.180399656
39	4.176509975
40	4.172321592
41	4.16792584
42	4.163871243
43	4.160228011
44	4.156686929
45	4.152562424
46	4.148850459
47	4.14507602
48	4.140681961
49	4.136910419
50	4.132810603
51	4.128461678
52	4.124040775
53	4.119899555
54	4.115995953
55	4.112040452
56	4.108258918
57	4.104135123
58	4.099516799
59	4.095071434
60	4.09140119
61	4.087113979
62	4.083454655
63	4.079181775
64	4.075318326
65	4.071784928
66	4.068253884
67	4.06428806
68	4.060130971
69	4.056419014
70	4.052584554
71	4.048817669
72	4.045399609
73	4.041065264
74	4.03695
75	4.033358428
76	4.028970037
77	4.024317113
78	4.019690147
79	4.015570575
80	4.01214236
81	4.008033264
82	4.003189259
83	3.99850906
84	3.99503721
85	3.99134248
86	3.987271866
87	3.983030011
88	3.978788063
89	3.974785372
90	3.971220516
91	3.967094877
92	3.963016839
93	3.959015947
94	3.955236641
95	3.951779379
96	3.947790218
97	3.944400131
98	3.940817672
99	3.937108484
