iter	Passed	Remaining
0	193	193236
1	216	108211
2	238	79122
3	258	64308
4	264	52726
5	286	47414
6	307	43653
7	330	40922
8	352	38768
9	373	36992
10	395	35537
11	415	34233
12	440	33456
13	468	33007
14	493	32396
15	516	31752
16	537	31104
17	558	30494
18	580	29951
19	601	29485
20	622	29043
21	644	28638
22	658	27954
23	680	27668
24	701	27375
25	722	27059
26	742	26774
27	764	26549
28	786	26322
29	807	26118
30	828	25909
31	849	25708
32	871	25550
33	892	25351
34	913	25180
35	936	25088
36	959	24977
37	982	24875
38	1004	24741
39	1025	24607
40	1047	24499
41	1068	24374
42	1089	24258
43	1110	24133
44	1132	24025
45	1154	23948
46	1175	23834
47	1195	23720
48	1217	23630
49	1239	23544
50	1259	23437
51	1280	23350
52	1301	23253
53	1322	23164
54	1343	23079
55	1364	23004
56	1385	22923
57	1406	22850
58	1428	22783
59	1450	22725
60	1471	22654
61	1493	22600
62	1515	22533
63	1537	22487
64	1559	22438
65	1580	22364
66	1602	22308
67	1622	22241
68	1642	22168
69	1664	22113
70	1687	22078
71	1707	22011
72	1729	21968
73	1752	21927
74	1773	21876
75	1795	21829
76	1817	21780
77	1838	21735
78	1861	21696
79	1884	21671
80	1905	21623
81	1926	21571
82	1949	21534
83	1970	21488
84	1991	21436
85	2011	21377
86	2032	21333
87	2056	21311
88	2078	21270
89	2099	21229
90	2121	21192
91	2141	21138
92	2161	21083
93	2183	21040
94	2203	20994
95	2225	20959
96	2247	20918
97	2268	20878
98	2289	20835
99	2310	20795
100	2332	20757
101	2353	20721
102	2375	20686
103	2396	20650
104	2417	20608
105	2438	20567
106	2460	20532
107	2481	20495
108	2503	20465
109	2525	20436
110	2546	20397
111	2568	20363
112	2589	20327
113	2611	20295
114	2632	20256
115	2652	20215
116	2673	20178
117	2695	20151
118	2718	20122
119	2739	20091
120	2760	20055
121	2781	20019
122	2802	19983
123	2823	19944
124	2844	19908
125	2865	19873
126	2886	19840
127	2908	19812
128	2929	19781
129	2951	19750
130	2972	19717
131	2993	19685
132	3015	19655
133	3035	19616
134	3055	19579
135	3077	19552
136	3098	19515
137	3119	19485
138	3140	19452
139	3162	19425
140	3183	19392
141	3204	19363
142	3226	19335
143	3247	19302
144	3268	19275
145	3290	19245
146	3311	19212
147	3332	19183
148	3352	19149
149	3374	19121
150	3395	19091
151	3416	19057
152	3437	19032
153	3459	19002
154	3479	18971
155	3501	18941
156	3521	18906
157	3543	18882
158	3564	18854
159	3587	18833
160	3607	18799
161	3628	18770
162	3649	18742
163	3671	18715
164	3692	18686
165	3713	18657
166	3735	18632
167	3755	18598
168	3776	18569
169	3797	18542
170	3819	18516
171	3839	18483
172	3861	18459
173	3882	18431
174	3903	18400
175	3924	18373
176	3946	18350
177	3967	18321
178	3988	18291
179	4009	18264
180	4029	18234
181	4052	18212
182	4073	18184
183	4094	18160
184	4115	18129
185	4136	18103
186	4158	18077
187	4179	18050
188	4200	18022
189	4221	17995
190	4241	17967
191	4263	17942
192	4285	17918
193	4306	17891
194	4328	17868
195	4353	17857
196	4377	17842
197	4400	17824
198	4425	17813
199	4447	17791
200	4469	17768
201	4496	17761
202	4518	17742
203	4541	17719
204	4562	17694
205	4585	17673
206	4607	17652
207	4629	17628
208	4650	17600
209	4670	17570
210	4692	17545
211	4713	17519
212	4734	17494
213	4756	17471
214	4779	17449
215	4800	17422
216	4820	17393
217	4842	17370
218	4863	17343
219	4885	17320
220	4906	17294
221	4928	17270
222	4950	17247
223	4971	17221
224	4992	17197
225	5014	17172
226	5036	17150
227	5057	17125
228	5079	17100
229	5100	17076
230	5121	17049
231	5142	17023
232	5162	16995
233	5183	16968
234	5204	16942
235	5226	16918
236	5247	16894
237	5268	16867
238	5289	16842
239	5310	16818
240	5331	16792
241	5354	16771
242	5375	16746
243	5396	16720
244	5418	16699
245	5440	16673
246	5460	16646
247	5481	16621
248	5503	16597
249	5524	16572
250	5545	16549
251	5566	16524
252	5588	16500
253	5610	16478
254	5631	16454
255	5652	16426
256	5673	16401
257	5693	16375
258	5714	16350
259	5735	16323
260	5756	16298
261	5777	16274
262	5799	16251
263	5820	16226
264	5860	16254
265	5883	16236
266	5906	16215
267	5927	16189
268	5948	16163
269	5968	16136
270	5989	16112
271	6010	16087
272	6031	16061
273	6051	16034
274	6073	16011
275	6094	15986
276	6116	15963
277	6137	15939
278	6158	15914
279	6178	15887
280	6199	15864
281	6220	15838
282	6241	15812
283	6263	15790
284	6284	15766
285	6306	15743
286	6327	15720
287	6348	15693
288	6369	15670
289	6390	15645
290	6411	15621
291	6433	15598
292	6456	15578
293	6477	15554
294	6499	15531
295	6519	15506
296	6540	15481
297	6561	15457
298	6583	15434
299	6605	15412
300	6625	15386
301	6646	15362
302	6668	15339
303	6689	15315
304	6711	15294
305	6732	15270
306	6755	15249
307	6777	15226
308	6797	15201
309	6819	15178
310	6840	15153
311	6862	15133
312	6884	15109
313	6905	15085
314	6925	15060
315	6946	15036
316	6968	15015
317	6990	14991
318	7011	14967
319	7032	14944
320	7053	14920
321	7074	14895
322	7096	14873
323	7118	14851
324	7138	14827
325	7160	14803
326	7182	14781
327	7202	14756
328	7223	14732
329	7245	14710
330	7267	14688
331	7288	14663
332	7308	14639
333	7330	14617
334	7351	14594
335	7373	14571
336	7394	14548
337	7416	14525
338	7437	14502
339	7461	14483
340	7482	14460
341	7504	14437
342	7526	14416
343	7547	14392
344	7569	14371
345	7591	14349
346	7613	14327
347	7635	14304
348	7656	14282
349	7678	14259
350	7700	14237
351	7720	14213
352	7742	14190
353	7762	14165
354	7783	14142
355	7804	14119
356	7826	14096
357	7848	14075
358	7870	14052
359	7891	14028
360	7912	14006
361	7935	13986
362	7957	13963
363	7978	13940
364	7999	13917
365	8021	13895
366	8042	13871
367	8064	13849
368	8084	13825
369	8106	13802
370	8127	13778
371	8148	13755
372	8168	13731
373	8189	13707
374	8211	13686
375	8232	13662
376	8252	13637
377	8273	13614
